sample, p__Spirochaetota, p__WPS-2, p__Methylomirabilota, p__Deinococcota, p__Cyanobacteria, p__Thermoplasmatota, p__Nitrospinota, p__Bdellovibrionota, p__Fusobacteriota, p__Proteobacteria, p__Acidobacteriota,Unassigned_unassigned, p__Euryarchaeota, p__Synergistota, p__Verrucomicrobiota, p__Firmicutes, p__Chloroflexi, p__Patescibacteria, p__WOR-1,d__Archaea_unassigned, p__Armatimonadota, p__Bacteroidota, p__Elusimicrobiota, p__Sumerlaeota, p__Myxococcota, p__Aenigmarchaeota,d__Eukaryota_unassigned, p__Actinobacteriota, p__Asgardarchaeota, p__Thermotogota, p__SAR324_clade(Marine_group_B), p__Nitrospirota, p__Abditibacteriota, p__Dadabacteria, p__Desulfobacterota, p__Campilobacterota, p__Dependentiae, p__Halobacterota, p__Deferribacterota, p__WS2,d__Bacteria_unassigned, p__Fibrobacterota, p__Planctomycetota, p__Gemmatimonadota
ba045.641000785.pw.prewash.rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba045.641000785.pw.prewash.rep2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba045.641000785.pw.prewash.rep3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba046.641000785.3m.bal.rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba046.641000785.3m.bal.rep2,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,8175,0,0,0,0,0,24,0,0,0,0,0,179,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
ba046.641000785.3m.bal.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba054.641000773.6m.bal.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba056.641000777.dc.bal.rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba056.641000777.dc.bal.rep2,0,0,0,0,0,0,0,0,22,9722,0,0,0,0,0,2122,0,0,0,0,0,2599,0,0,0,0,0,1234,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0
ba056.641000777.dc.bal.rep3,0,0,0,0,0,0,0,0,0,3567,0,0,0,0,0,499,0,0,0,0,0,336,0,0,0,0,0,264,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
ba057.641000777.pw.prewash.rep1,0,0,0,0,0,0,0,0,8,32,0,0,0,0,0,192,0,0,0,0,0,30,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba057.641000777.pw.prewash.rep2,0,0,0,0,15471,0,0,0,21,62,0,0,0,0,0,93,0,0,0,0,0,17,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0
ba057.641000777.pw.prewash.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba060.641000777.6m.bal.rep1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba060.641000777.6m.bal.rep2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,177,0,0,0,0,0,4,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba060.641000777.6m.bal.rep3,0,0,0,0,0,0,0,0,46,182,0,0,0,0,0,1335,0,29,0,0,0,866,0,0,0,0,0,133,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ba061.641000771.6w.bal.rep1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,207,0,0,0,0,0,31,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba061.641000771.6w.bal.rep2,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,2827,0,7,0,0,0,255,0,0,0,0,0,255,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ba061.641000771.6w.bal.rep3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,86,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ba062.641000771.pw.prewash.rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba062.641000771.pw.prewash.rep2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba062.641000771.pw.prewash.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba063.641000771.3m.bal.rep2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba063.641000771.3m.bal.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba064.641000771.6m.bal.rep1,0,0,0,0,16,0,0,0,0,35,0,0,0,0,0,146,0,2,0,0,0,17,0,0,0,0,0,55,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
ba064.641000771.6m.bal.rep2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba064.641000771.6m.bal.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba065.641000085.6w.bal.rep1,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,450,0,0,0,0,0,139,0,0,0,0,0,200,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
